repo_name,repo_path,series,audit_compliant,violations_count,invalid_top_level_dirs,missing_required_files,has_python,python_import_risk_hits,import_risk_examples,has_gitmodules,referenced_as_submodule,noncompliant_file_count,noncompliant_size_mb,recommended_route,notes
C001_mission-control,/Users/jeremybradford/SyncedProjects/C001_mission-control,C,false,18,50_profiles;70_entities;backups;data;dist;docs;examples;external;logs;mcp-ops-agents;notes;scripts;tests;tools;workspace,00_run/;RELATIONS.yaml;rules_now.md,true,2,"external/standards/validators/run_all.py:17:    sys.path.insert(0, str(REPO_ROOT)) | external/standards/validators/run_all.py:19:from validators import AVAILABLE_VALIDATORS, load_val...",true,0,228,0.0,needs_exception,Python repo with 2 sibling-dir import patterns
C002_sadb,/Users/jeremybradford/SyncedProjects/C002_sadb,C,false,27,all_in_one_v1_2;approvals;artifacts;assets;benchmarks;dashboard;data;docs;docs 2;docs 3;extractions;heartbeat;ingest;intake;library;logs;n8n and Sad Bees;pipeline;receipts;reports;reviews;sadb_orders_1_2C;scripts;src;test_data;tests;tmp,,true,10,"pipeline/scripts/claude_extractor_v2.py:10:sys.path.insert(0, os.path.dirname(os.path.dirname(os.... | pipeline/ai/triage_classify.py:16:sys.path.append(str(Path(__file__).parent.parent.parent)) | 40_src/chunking/chunk_v2.py:21:sys.path.insert(0, str(pathlib.Path(__file__).parent.parent.parent... | 40_src/tools/build_l2_input.py:20:sys.path.insert(0, os.path.dirname(__file__)) | 40_src/scripts/01_chunker.py:16:sys.path.insert(0, os.path.dirname(os.path.abspath(__file__)))",false,0,7223,0.0,needs_exception,Python repo with 10 sibling-dir import patterns
C003_sadb_canonical,/Users/jeremybradford/SyncedProjects/C003_sadb_canonical,C,false,19,20_schemas;50_cli;60_artifacts;60_mcp;70_entities;70_runs;90_launchers;90_tests;99_kst;Betty Audit Files;SADB_DATA;__pycache__;docs;env;pipelines;requirements;scripts;tests,00_run/,true,10,"tests/test_policy_enforcement.py:27:sys.path.insert(0, str(Path(__file__).parent.parent / ""40_src"")) | 90_tests/test_s1_xpaste.py:22:sys.path.insert(0, str(Path(__file__).parent.parent / ""40_src"")) | 10_docs/Research Claude/sadb_mcp_server.py:82:    sys.path.insert(0, RETRIEVAL_PATH) | 90_tests/test_playbook_registry.py:12:sys.path.insert(0, str(Path(__file__).parent.parent / ""40_s... | 10_docs/Research Claude/test_sadb_mcp_server.py:42:        sys.path.insert(0, os.path.dirname(os....",false,0,13009,0.0,needs_exception,Python repo with 10 sibling-dir import patterns
C004_star-extraction,/Users/jeremybradford/SyncedProjects/C004_star-extraction,C,false,9,docs;examples;out;prompts;run;schema;scripts;src;tests,,true,4,"src/test_framework.py:10:sys.path.insert(0, str(Path(__file__).parent)) | EXTRACT_NOW.py:9:sys.path.append('src') | examples/extract_with_deduplication.py:16:sys.path.insert(0, str(Path(__file__).parent.parent)) | find_conversations.py:6:sys.path.append('src')",false,0,44,0.0,needs_exception,Python repo with 4 sibling-dir import patterns
C005_mybuddy,/Users/jeremybradford/SyncedProjects/C005_mybuddy,C,false,8,20_data;50_models;chroma_data;data;docs;pipeline;src,00_run/,true,0,,false,0,36,0.0,manual_migration,"Invalid dirs: 20_data, 50_models, chroma_data, data, docs"
C006_revelator,/Users/jeremybradford/SyncedProjects/C006_revelator,C,false,2,data;pipeline,,true,0,,false,0,1,0.0,manual_migration,"Invalid dirs: data, pipeline"
C007_the_cavern_club,/Users/jeremybradford/SyncedProjects/C007_the_cavern_club,C,false,20,SADB_DATA;agent_configs;agora;atlas;backups;custom;data;docs;fsapi;houston;logs;mcp;openapi-servers;openapi-specs;resolver;sadb-mem-writer;sadb-rag-api;streamdeck-voices;tests;tools,,true,6,"custom/betty_voice_integration.py:15:    sys.path.insert(0, betty_path) | tests/test_roundtable.py:11:sys.path.insert(0, str(Path(__file__).parent.parent / ""40_src"" / ""rou... | tests/test_voice_manager.py:11:sys.path.insert(0, str(Path(__file__).parent.parent / ""custom"")) | betty_voice_server.py:25:    sys.path.insert(0, betty_path) | mcp/sadb_mcp_reader.py:125:    sys.path.insert(0, str(RETRIEVAL_PATH))",false,0,40144,0.0,needs_exception,Python repo with 6 sibling-dir import patterns
C008_CBFS,/Users/jeremybradford/SyncedProjects/C008_CBFS,C,false,20,40_review;40_tools;50_canonical;50_cli;50_exports;60_review;90_tests;data;docs;extraction;fact_review_batches;forensics;integration;metrics;schema;scripts;training;validation;verification,00_run/,true,10,"90_tests/test_expansion.py:16:sys.path.insert(0, str(Path(__file__).parent.parent / ""40_src"")) | 90_tests/test_review_queue.py:16:sys.path.insert(0, str(Path(__file__).parent.parent / ""40_src"")) | 90_tests/test_cbfs_review_cli.py:15:sys.path.insert(0, str(Path(__file__).parent.parent / ""40_src"")) | 90_tests/test_cbfs_review_cli.py:16:sys.path.insert(0, str(Path(__file__).parent.parent / ""50_cli"")) | 40_src/tests/test_export.py:20:sys.path.insert(0, str(Path(__file__).parent.parent))",false,0,117,0.0,needs_exception,Python repo with 10 sibling-dir import patterns
C009_mcp-memory-http,/Users/jeremybradford/SyncedProjects/C009_mcp-memory-http,C,false,6,docs;examples;forensics;scripts;tests;training,,true,0,,false,0,8,0.0,manual_migration,"Invalid dirs: docs, examples, forensics, scripts, tests"
C010_standards,/Users/jeremybradford/SyncedProjects/C010_standards,C,false,10,prompts;protocols;registry;schemas;scripts;taxonomies;tests;tools;validators;workspace,,true,10,"scripts/workspace_triage.py:37:    r""from scripts\b"", | scripts/workspace_triage.py:38:    r""import scripts\b"", | scripts/workspace_triage.py:39:    r""from validators\b"", | scripts/workspace_triage.py:40:    r""import validators\b"", | scripts/workspace_triage.py:41:    r""from tests\b"",",false,1,91,0.0,needs_exception,Python repo with 10 sibling-dir import patterns
